"Repair","Riparazione"
"Warranty","Garanzia"
"Company Profile","Profilo Aziendale"
"Service and Support","Servizi e supporto"
"Sort By","Ordina per"
"View as:","Visualizza come:"
"Refurbished to Manufacturer specification","Ricondizionato al livello standard di fabbrica "
"Extended Warranty Available","Estensione della garanzia disponibile"
"Please call us for any questions related to this item.","Vi preghiamo di contattarci per eventuali domande relative a questo elemento"
"Turn around time 3-5 days","Tempo minimo di inversione di 3-5 giorni"
"Available in 2 to 3 days","Disponibile in 2-3 giorni"
"Depot Repair","Riparazione a base"
"Free Cost Estimates","Preventivi gratuiti"
"please add our repair order when you send us your device","Per favore aggiungete il nostro ordine di reparazione quando ci inviate il vostro dispositivo" 
"Server","Server"
"Mr","Sig"
"Ms","Sig.na"
"Tax","IVA"
"You will receive an order confirmation email with details of your order and a link to track its progress.","Una volta che l'ordine è stato spedito riceverai un'altra e-mail con un link per seguire i suoi progressi."
"Price","Prezzo"
"Manufacturer","Fabbricante"
"Repair of","Riparazione del"
"Contact Us","Contatti"
"comment","commenti"
"Categories","Categoria"
"About us","Informazioni"
"We can change the firmware to suit your needs","Adattiamo la firmware per le vostre esigenze"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Creando un account con il nostro negozio, sarete in grado di muovervi attraverso il processo di checkout più velocemente, memorizzare indirizzi di consegna multipli, controllare in tempo i vostri ordini nel vostro account e altro."
"If you have an account with us, please log in.","Se avete un account con noi, effettuate il log in"
"Forgot Your Password?", "Password Dimenticata"
"New Customers","Nuovi Clienti"
"Registered Customers","Clienti Registrati"
"Login or Create an Account","Login o Crea un account"
"You have no items in your shopping cart.","Non ci sono articoli nel tuo carrello."
"Click here to continue shopping.","Fai clic qui per continuare."
"Company Overview","Panoramica della società"
"Repairs","Riparazioni"
"Service & Support","Servizi & supporto"
"There is already an account with this email address. If you are sure that it is your email address, click here to get your password and access your account.","C'è già un account con questo indirizzo email. Se sei sicuro che è il tuo indirizzo e-mail, clicchi qui per ottenere la password e accedere al tuo account."
"Thank you for registering with TOP TEN Shop.","Grazie per esservi registrati con Top Ten"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Dalla dashboard Mio Account è possibile visualizzare una snapshot del proprio account recente e aggiornare le informazioni dell'account."
"Default Shipping Address", "Indirizzo di spedizione predefinito"
"was added to your shipping cart","è stato aggiunto al tuo carrello."
"View your shopping cart","Visualizza il carrello degli acquisti"
"Clear Shopping Cart","Rimuovi dal Carrello"    
"Bank Transfer Payment","Pagamento tramite bonifico bancario"
"Your order has been received","Il Tuo Ordine è stato ricevuto"
"Your order","Il tuo ordine"
"is","è"
"to Continue Shopping","Continua l'acquisto"
"Contact Information", "Informazioni sul contatto"
"Last Ordered Items"," Ultimi articoli ordinati"
"contact-us.html","contatti.html"
"About Us","Chi Siamo"
"company-overview.html","chi-siamo.html"
"service-support.html","servizi-supporto.html"
"repair.html","riparazione.html"
"Qty in Stock","Quantità in magazzino"
"Imprint","Impronta"
"imprint.html","impronta.html"
"Privacy Policy","Informativa sulla privacy"
"privacy-policy.html","informativa-sulla-privacy.html"
"Terms Of Use","Condizioni di Utilizzo"
"terms-of-use.html","condizioni-di-utilizzo.html"
"Standard Delivery","Consegna Standard"
"Express Delivery","Consegna Express"
"You have logged out and will be redirected to our homepage in 5 seconds.","Il reindirizzamento alla pagina principale avverrà automaticamente entro 5 secondi."
"You are now logged out","È stato effettuato lo scollegamento"
"Select Shipping Method","Selezionare un metodo di spedizione"
"There is <a href=""%s"">1 item</a> in your quote.","Hai <a href=""%s"">1 articolo</a> nella qutoazione."
"There are <a href=""%s"">%s items</a> in your quote.","Ci sonno <a href=""%s"">%s articolo</a> nella qutoazione."
"Submit Quote","Envia Qutoazione"
"Edit item","Modifica prodotto"

-----------------
