"%s days","%s Tage"
"Access denied!","Zugang verweigert!"
"Account Information","Konto Informationen"
"Action is blocked in quote confirmation mode","Aktion ist blockiert"
"Add to Cart","Bestellen"
"Add to Quote","Anfrage"
"Address","Adresse"
"All items were moved to cart successfully.","Alle Produkte wurden erfolgreich in den Warenkorb gelegt."
"Allowed to Quote Mode","Zur Anfrage zugelassen"
"Atr. nr.","Art. Nummer"
"Back to My Quotes","Zurück zu Ihren Anfragen"
"Be advised to enter your comments","Bitte fügen Sie Ihre Bemerkungen ein."
"Billing address wasn't added","Rechnungsadresse wurde nicht hinzugefügt"
"By deleting an item, you will create a new quote request. Do you want to do this?","Wenn Sie ein Artikel aus der Anfrage löschen, müssen Sie eine neue Anfrage erstellen. Fortfahren?"
"Can not add client note request to the product.","Bemerkungen konnte nich hinzugefügt werden."
"Can not add customer address.","Adresse konnte nicht hinzugefügt werden."
"Can not add one of the items to quote request.","Eines dieser Produkte konnte keiner Anfrage hinzugefügt werden."
"Cancel","Abbrechen"
"Can't remove item","Produkt kann nicht gelöscht werden"
"Can't update quote list","Anfragenliste kann nicht aktualisiert werden"
"cart2quote cancel","cart2quote annulieren"
"cart2quote new account","cart2quote Neu Account"
"cart2quote proposal","cart2quote Angebot"
"cart2quote reject","cart2quote ablehnen"
"cart2quote request","cart2quote Anfrage"
"Change to Order mode?","Umschalten nach Bestell Modus?"
"Change to Quotation mode?","Umschalten nach Anfrage Modus?"
"Change to Quote mode?","Umschalten nach Anfrage Modus?"
"Checking..","Kontrolieren..."
"City","Ort"
"Company","Firma"
"Confirm and CheckOut","Bestätigen und mit Anfrage fortfahren"
"Continue","Fortfahren"
"Continue Shopping","Weiter einkaufen"
"Country","Land"
"Customer email already exists. You should login <a href=%s>here</a>","Das E-Mail Adresse existiert bereits. Bitte <a href="%s">hier einloggen</a>"
"Date","Datum"
"Date of Proposal","Angebotsdatum"
"Default Address","Standard Adresse"
"Do you have a general remark with your quote request?","Haben Sie eine Bemerkung zu dieser Anfrage?"
"Edit Quote","Anfrage bearbeiten"
"Email Address","E-mail Adresse"
"Email already exists","E-Mail Adresse existiert bereits"
"Enter your destination to get a shipping quotation","Bitte geben Sie die Lieferadresse ein"
"Enter your details to get a price proposal","Bitte geben Sie Ihre Daten ein."
"Fax","Fax"
"First Name","Vorname"
"Fixed Shipping & Handling price","Feststehende Versand- und Bearbeitungskosten"
"Information by Quote request avaliable by link below","Information zu diesem Angebot finden sie durch folgenden Link"
"Item %s wasn't  moved to Shopping cart","Produkt %s wurde dem Warenkorb nicht hinzugefügt"
"Item %s wasn't  removed from Quote mode","Produkt %s wurde aus der Anfrage nicht entfernt"
"Item was deleted successfully.","Produkt wurd erfolgreich entfernt."
"Item was moved to cart successfully.","Das Produkt wurde erfolgreich dem Warenkorb hinzugefügt."
"Item was moved to quote successfully.","Das Produkt wurde erfolgreich Ihrer Anfragenliste hinzugefügt"
"Item(s) were moved from Quote to Order mode successfully.","Produkt(e) wurden erfolgreich von der Anfrage in den Warenkorb verschoben"
"Items Quoted","Angefragte Artikel"
"Last Name","Nachname"
"Log in and <a href='%s'>click on to View Quote.</a>","Einloggen um <a href='%s'> Ihr Angebot zu sehen.</a>"
"My Quote list","Ihre Anfragenliste"
"My quote request","Ihre Anfragen"
"My Quote (""%s"" item)","Ihre Anfragen (""%s"" Item)"
"My Quote ("%s" item)","My Quote 12 ("%s" item)"
"My quote request (%s items)","Ihre Anfragen (%s Items)"

"My Quotes","Ihre Anfragen"
"New Address","Neue Adresse"
"No item in quote.","Es sind keine Artikel in Ihren Anfragen."
"No Items to display.","Es sind keine Artikel in Ihren Anfragem."
"Order Mode","Bestellen"
"Original Price","Normaler Preis"
"Owner price","Angebot"
"Please enter an valid email address","Bitte geben Sie eine gültige E-Mail Adresse ein"
"Please select region, state or province","Bitte Land\/Bundesland wählen"
"Please select required qty and check out online to see applicable price.","Geben Sie die Menge ein."
"Please specify product quantity.","Bitte geben Sie die gewünschte Anzahl ein."
"Price Proposal","Angebotspreis"
"Product %s successfully added to Quote Request","Produkt %s wurde erfolgreich Ihren Anfragen hinzugefügt"
"Product %s was deleted from your shopping cart","Produkt %s iwurde erfolgreich Ihre Warenkorb hinzugefügt"
"Product Name","Produktname"
"Proposal valid until","Angebot gültig bis"
"Proposal Valid Until: %s","Angebot gültig bis: "
"Qquote cancel email was't sent to admin for quote #%s","Anfrage-annulieren E-Mail ist nicht nach Shophouse versand f\u00fcr Anfrage #%s"
"Qquote proposal email was't sent to the client for quote #%s","Das Angebot E-Mail ist nicht nach Kunde versand f\u00fcr Anfrage #%s"
"Qquote request email was't sent to admin for quote #%s","Preis Anfrage E-Mail ist nicht nach Shophouse versand f\u00fcr Anfrage #%s"
"Qty","Menge"
"Quotation # %s","Angebot # %s"
"Quotation #%s - Proposal","Preis Anfrage #%s"
"Quotation #%s was rejected","Angebot #%s ist abgelehnt"
"Quotation Date: %s","Preis Anfrage Datum: %s"
"Quote","Preis Anfrage"
"Quote #","Preis Anfrage #"
"Quote #%s","Angebot #%s"
"Quote List","Anfragen Liste"
"Quote list was updated successfully."," Die Anfrage Liste wurde erfolgreich aktualisiert."
"Quote mode","Anfrage Modus"
"Quote Proposal","Angebotsnummer"
"Quote request information","Preis Anfrage Information"
"Quote shipping proposal from owner","Versandangebot"
"Quote Status","Preis Anfrage Status"
"Reject Proposal","Angebot ablehnen"
"Remark with Proposal","Bemerkung bei Angebot"
"Remove","Entfernen"
"Remove item","Produkt entfernen"
"Request for Quote","Preis Anfrage"
"Request information","Produkt Bemerkung"
"Request quote","Preisanfrage senden"
"Requested information","Bemerkungen"
"Required Fields","Pflichtfeld"
"ship to:","Versand:"
"Shipping & Handling price per product per Unit","Versand- und Bearbeitungskosten je Produkt"
"Shipping & Handling price varies.","Versand- und Bearbeitungskosten variieren."
"Shipping Address","Versand Adresse"
"Shipping details","Versand Daten"
"Shipping Method","Versand Methode"
"State/Province","Bundesland"
"Status","Status"
"STATUS_BEGIN","Angefangen"
"STATUS_CANCELED","Angebot annuliert"
"STATUS_CONFIRMED","Angebot akzeptiert"
"STATUS_DENIED","Angebot abgelehnt"
"STATUS_PROPOSAL","Angebot übermittelt"
"STATUS_PROPOSAL_EXPIRED","Angebot abgelaufen"
"STATUS_PROPOSAL_SAVED","Angebot gespeichert"
"STATUS_AUTO_PROPOSAL","Angebot übermittelt"
"STATUS_REJECTED","Gelöscht"
"STATUS_REQUEST","In Berarbeitung"
"STATUS_REQUEST_EXPIRED","Anfrage abgelaufen"
"Switch to Order mode","Umschalten nach Bestell Modus"
"Switch to Quote mode","Umschalten nach Anfrage Modus"
"TAX","MwSt"
"Telephone","Telefon"
"Thank you for your interest!","Vielen Dank für Ihr Interesse!"
"Thanks for your Quote request.","Vielen Dank für Ihre Anfrage."
"The address was successfully saved","Adresse wurde erfolgreich gespeichert"
"There are <a href=%s><strong>%s items</strong></a> in your quote list.","Sie haben <a href=%s><strong>%s Artikel</strong></a> in Ihrer Anfragenliste."
"There is <a href=%s><strong>1 item</strong></a> in your quote list.","Sie haben <a href=%s><strong>1 Produkt</strong></a> in Ihrer Anfragenliste."
"This item will be removed from the list if you continue:","Der Artikel wird von Liste gelöscht, wenn Sie fortfahren:"
"The following item will not be added to the quotation list if you continue:","Die folgenden Artikel werden Ihrem Angebot nicht hinzugefugt , wenn Sie fortfahren:"
"This order list contains items that cannot quoted.","Sie haben Produkte in Ihrem Warenkorb, für die keine Anfragen möglich sind."
"To add item to the Quote mode <a href='%s'>log out</a> from Quote confirmation mode.","Wann Sie ein Preisaufgabe empfangen wollen dann sollen Sie bitte <a href='%s'>ausloggen</a> aus die Anfrage-Best\u00e4tgigung Status."
"To add item to the Quote mode <a href='%s'>switch the shopping cart to Quote mode.</a>","Wann Sie ein Preisaufgabe empfangen wollen dann sollen Sie bitte <a href='%s'>Umschalten von Bestel- nach Anfrage Umgebung.</a>"
"To add item to the Shopping cart <a href='%s'>log out</a> from Quote confirmation mode.","Wann Sie ein Produkt bestellen wollen, dann sollen Sie bitte <a href='%s'>ausloggen</a> aus diese Anfrage Umgebung."
"To add product to the Order mode <a href='%s'>switch the Shopping cart to Order mode.</a>","Wann Sie das Produkt bestellen wollen, dan sollen Sie bitte <a href='%s'>umschalten nach Bestel Umgebung.</a>"
"Unable to send email.","E-mail konnte nicht versandt werden."
"Unit price","Stückpreis"
"Unknown exception","Unbekannte Ausnahme"
"View Quote","Anfrage ansehen"
"You are in a quote confirmation mode, <a href='%s'>log out</a>.","Sie köönnen jetzt eine Anfrage bestätigen, <a href='%s'>ausloggen</a>."
"You have placed no quotes.","Sie haben noch kein laufende Anfragen."
"You log out successfully from Quote confirmation mode.","Sie wurden erfolgreich abgemeldet."
"You will receive a quote confirmation email with a link to track progress.","Sie erhalten eine Bestätigungs E-Mail."
"Your order list contains items that cannot quoted.","In Ihrem Warenkorb sind Artikel, für die keine Anfragen möglich sind."
"Your quote has been canceled","Ihren Anfrage wurde storniert"
"Your quote has been received","Wir haben Ihre Anfrage erhalten"
"Your quote list contains items that cannot ordered.","Auf Ihrer Anfragen Liste sind Produkte, für die eine Bestellung nicht möglich ist."
"Your quote request has been received","Wir haben Ihre Anfrage erhalten"
"Your quote request has been submitted successfully.","Ihr Anfrage wurde erfolgreich versandt."
"Your shopping cart will be changed to Quote Request if you continue.","Ihre Warenkorb wird Ihren Anfragen hinzugefügt, wenn Sie fortfahren."
"You're welcome to place a new Request for Quote","Sie können uns jederzeit eine neue Anfrage senden."
"Zip/Postal Code","Postleitzahl"
"Add Qty", "Anzahl ändern"
"enter your address", ""
"enter your city", ""
"enter your Zip", ""
"enter your state", ""
"Request a shipping quote", "Senden Sie uns eine Versandkosten Anfrage"
"Total price", "Total price"
"Move to Shopping cart", "In Warenkorb buchen"
"Move to shopping cart?","In Warenkorb buchen?"
"This quote list contains items that cannot ordered.", "Diese Anfragen Liste enthält Artikel die derzeit nicht bestellt werden können."
"This item will be removed from the list if you continue:","Die folgenden Artikel werden von Ihrer Liste entfernt wenn Sie fortfahren:"
"Cancel Action","Stornieren"
"Continue Action","Fortfahren"
"Copy to Quotation","Copy to Quotation"
"Copy to Quotation?","Copy to Quotation?"
"Copy to Quotation","Copy to Quotation"
"Cannot update the item.","DerArtikel kann nicht aktualisiert werden."
"Quote item is not found.","Der Artikel kann nicht gefunden werden"
"Cannot configure product.","Der Artikel kann nicht konfiguriert werdne."
"Edit", "Anpassen"
"in process...", "In Bearbeitung..."
"Your quote request # is: %s.","Ihre Anfrage hat folgende Nummer: %s."
"Quote Request in Process, wait for price proposal Shopowner","Preisanfrage ist in Bearbeitung"
"Item","Produkt"
"Tier/Qty","Anzahl"
