Layered Navigation Pro,Layered Navigation Pro
Categories Filter,Categories Filter
Breadcrumbs,Breadcrumbs
None,None
Price Filter,Price Filter
Slider,Slider
Input,Input
Default,Default
From,From
To,To
Range:,Range:
Go,Go
Clear All,Clear All
Remove Links from the Navigation,Remove Links from the Navigation
"This prevents `Duplicate content` penalty from search engines, however customers with disabled JavaScript won't be able to use the filters","This prevents `Duplicate content` penalty from search engines, however customers with disabled JavaScript won't be able to use the filters"
Maximum Height (px),Maximum Height (px)
Leave empty to remove height constraint,Leave empty to remove height constraint
Always Show Categories,Always Show Categories
Categories block will always show top level categories,Categories block will always show top level categories
