"%s days","%s días"
"Access denied!","¡Acceso denegado!"
"Account Information","Detalles de la cuenta"
"Action is blocked in quote confirmation mode","La acción está bloqueada"
"Add to Cart","Añadir a la cesta"
"Add to Quote","consultar"
"Address","Dirección"
"All items were moved to cart successfully.","Todos los productos han sido añadidos a la cesta correctamente."
"Allowed to Quote Mode","Admitido para solicitar información"
"Atr. nr.","N° art."
"Back to My Quotes","Volver a sus consultas"
"Be advised to enter your comments","Por favor añade sus comentarios."
"Billing address wasn't added","Aún no nos ha facilitado ninguna dirección de facturación"
"By deleting an item, you will create a new quote request. Do you want to do this?","Al eliminar un artículo de su consulta, tendrá que solicitar la información nuevamente. Desea continuar?"
"Can not add client note request to the product.","No se ha añadido ningún comentario."
"Can not add customer address.","No se ha añadido la dirección."
"Can not add one of the items to quote request.","Uno de los artículos no ha sido añadido a ninguna consulta."
"Cancel","Cancelar"
"Can't remove item","No se puede eliminar el producto."
"Can't update quote list","La lista de sus consultas no puede ser actualizada."
"cart2quote cancel","Cancelar cart2quote"
"cart2quote new account","Nueva cuenta cart2quote"
"cart2quote proposal","Oferta cart2quote"
"cart2quote reject","Rechazar cart2quote"
"cart2quote request","Consulta cart2quote"
"Change to Order mode?","¿Cambiar a la modalidad de comprar?"
"Change to Quotation mode?","¿Cambiar a la modalidad de consultar precios?"
"Change to Quote mode?","¿Cambiar a la modalidad de consultar precios?"
"Checking..","Comprobando…"
"City","Localidad"
"Company","Empresa"
"Confirm and CheckOut","Confirmar y continuar con la consulta"
"Continue","Continuar"
"Continue Shopping","Seguir comprando"
"Country","País"
"Customer email already exists. You should login <a href=%s>here</a>","La dirección de e-mail ya existe. Por favor inície sesión <a href=""%s"">aquí</a>"
"Date","Fecha"
"Date of Proposal","Fecha de la oferta"
"Default Address","rección estándar"
"Do you have a general remark with your quote request?","¿Quiere añadir un comentario a su solicitud?"
"Edit Quote","Editar solicitud"
"Email Address","Dirección de e-mail"
"Email already exists","La dirección de e-mail ya existe"
"Enter your destination to get a shipping quotation","Por favor introduzca la dirección de entrega"
"Enter your details to get a price proposal","Por favor introduzca sus datos."
"Fax","Fax"
"First Name","Nombre"
"Fixed Shipping & Handling price","Precios fijos de envío y tramitación"
"Information by Quote request avaliable by link below","Encontrará más información acerca de esta oferta detrás del siguiente link"
"Item %s wasn't  moved to Shopping cart","El producto %s no ha sido añadido a la cesta."
"Item %s wasn't  removed from Quote mode","El producto %s no ha sido eliminado de la consulta."
"Item was deleted successfully.","El producto ha sido eliminado con éxito."
"Item was moved to cart successfully.","El producto ha sido añadido a la cesta con éxito."
"Item was moved to quote successfully.","El producto ha sido añadido a su lista de consultas con éxito."
"Item(s) were moved from Quote to Order mode successfully.","Ha movido el/los producto/s de la modalidad de consultas a la cesta de compras con éxito."
"Items Quoted,","Artículos solicitados"
"Last Name,","Apellidos"
"Log in and <a href='%s'>click on to View Quote.</a>,","Entrar en su cuenta para<a href='%s'> consultar su oferta.</a>"
"My Quote list,","Su lista de consultas"
"My quote request","Sus consultas"
"My quote request (%s item)","Su consulta (%s Item)"
"My quote request (%s item)","Su consulta (%s Item)"
"My Quote (""%s"" item)","Sus consultas"
"My Quotes","Sus consultas"
"New Address","Dirección nueva"
"No item in quote.","No hay artículos en su solicitud"
"No Items to display.","No hay artículos en su consulta"
"Order Mode,","Comprar"
"Original Price","Precio original"
"Owner price","Oferta"
"Please enter an valid email address","Por favor introduzca una dirección de e-mail válida"
"Please select region, state or province","Por favor seleccione el país / la comunidad autónoma"
"Please select required qty and check out online to see applicable price.","Por favor introduzca la cantidad deseada."
"Please specify product quantity","Por favor introduzca la cantidad deseada"
"Price Proposal","Precio de oferta"
"Product %s successfully added to Quote Request","El producto a sido añadido a sus consultas con éxito."
"Product %s was deleted from your shopping cart","El producto %s ha sido añadido a su cesta de compras con éxito."
"Product Name","Denominación del producto"
"Proposal valid until","Oferta válida hasta"
"Proposal Valid Until: %s","Oferta válida hasta el: "
"Qquote cancel email was't sent to admin for quote #%s","Anfrage-annulieren E-Mail ist nicht nach Shophouse versand f\u00fcr Anfrage #%s"
"Qquote proposal email was't sent to the client for quote #%s","Das Angebot E-Mail ist nicht nach Kunde versand f\u00fcr Anfrage #%s"
"Qquote request email was't sent to admin for quote #%s","Preis Anfrage E-Mail ist nicht nach Shophouse versand f\u00fcr Anfrage #%s"
"Qty","Cantidad"
"Quotation # %s","Oferta # %s"
